asin,title,price,image_url,product_url
"B0FS831QLM","Menstrual Heating Pad with 4 Massage Modes, Digital Display, Ultra-quiet Operation, Pink","N/A","https://m.media-amazon.com/images/I/41vXOlWrscL._SL1080_.jpg","https://www.amazon.in/dp/B0FS831QLM"
"B0FKMKZLBJ","Door Mat for Home Entrance | Anti-Slip Door Mat for Main Door | Waterproof Dust Control Doormat for Indoor Outdoor | Brown Large Door Mat for Home Bathroom","₹ 897","https://m.media-amazon.com/images/I/61zU+uTH7dL._SL1080_.jpg","https://www.amazon.in/dp/B0FKMKZLBJ"
"B0GKVPGWDV","1 Litre Oil Dispenser Bottle for Kitchen | Leak Proof Oil Pourer Bottle with Spout | Transparent Cooking Oil Container for Olive Oil, Vinegar &amp; Sauce Storage","₹ 275","https://m.media-amazon.com/images/I/71Gj81UkukL._SL1500_.jpg","https://www.amazon.in/dp/B0GKVPGWDV"
"B0GY4MYZFR","Sonic Electric Toothbrush for Adults with 2 Replacement Brush Heads | USB Rechargeable | 5 Brushing Modes for Deep Cleaning, Plaque Removal &amp; Gum Care | Multicolor","₹ 295","https://m.media-amazon.com/images/I/51AnrjKv4aL._SL1500_.jpg","https://www.amazon.in/dp/B0GY4MYZFR"
"B0GX62T8Z5","6-Angle Adjustable Aluminum Laptop Stand | Ergonomic Foldable &amp; Portable Tabletop Riser Holder for Laptop/Desktop | Compatible with MacBook, HP, Dell, Lenovo &amp; All Notebooks (Silver)","₹ 219","https://m.media-amazon.com/images/I/51fSWSaEe4L._SL1500_.jpg","https://www.amazon.in/dp/B0GX62T8Z5"
"B0FNN2D5CD","400ml Glass Water Bottle with Silicone Protective Sleeve | Leak Proof | BPA Free | Travel Friendly Reusable Water Bottle with Airtight Lid for Office, Gym &amp; Home (Blue, Pack of 1)","₹ 449","https://m.media-amazon.com/images/I/51ciRAlErEL._SL1080_.jpg","https://www.amazon.in/dp/B0FNN2D5CD"
"B0GKWZQD8W","4-Piece Airtight Kitchen Masala Box Set with Tray | Leakproof Spice Storage Containers | Easy Flow Rasoi Organizer for Masala, Dry Fruits &amp; Condiments |","₹ 199","https://m.media-amazon.com/images/I/71yVCx2B2iL._SL1500_.jpg","https://www.amazon.in/dp/B0GKWZQD8W"
"B0FN49BJHQ","Heavy Duty Garbage Bags – 90 Count (30 x 3 Rolls) | Extra Strong Black Trash Bags | Leakproof &amp; Tear-Resistant | Large Disposable Dustbin Bags for Home, Kitchen, Office &amp; Commercial Use","₹ 199","https://m.media-amazon.com/images/I/51r-cJibbUL._SL1080_.jpg","https://www.amazon.in/dp/B0FN49BJHQ"
"B0GN21V5Z7","1200ml Leak Proof Lunch Box for Office &amp; School | BPA Free Food Container with Airtight Lid | Microwave Safe, Durable &amp; Lightweight Tiffin Box for Men, Women &amp; Kids (Bule)","₹ 239","https://m.media-amazon.com/images/I/71UJnI6+zrL._SL1500_.jpg","https://www.amazon.in/dp/B0GN21V5Z7"
"B0GYN9V6S7","Manual Vegetable Chopper 900ML | Heavy Duty Hand Press Food Processor | 3 Stainless Steel Blades | Onion, Tomato, Garlic Cutter | Multipurpose Kitchen Chopper &amp; Salad Maker","₹ 199","https://m.media-amazon.com/images/I/615S+40UhcL._SL1312_.jpg","https://www.amazon.in/dp/B0GYN9V6S7"
